台灣頻道,#genre#
台視新聞,http://192.168.0.114:6789/ublive.php?id=1
中視新聞,http://192.168.0.114:6789/ublive.php?id=2400
中視新聞,http://192.168.0.114:6789/ublive.php?id=7
寰宇新聞,http://192.168.0.114:6789/ublive.php?id=2401
寰宇新聞,http://192.168.0.114:6789/ublive.php?id=304
公視新聞,http://192.168.0.114:6789/ublive.php?id=20
寰宇臺灣,http://192.168.0.114:6789/ublive.php?id=87
年代新聞,http://192.168.0.114:6789/ublive.php?id=2719
年代新聞,http://192.168.0.114:6789/ublive.php?id=1099
壹新聞,http://192.168.0.114:6789/ublive.php?id=2777
壹新聞,http://192.168.0.114:6789/ublive.php?id=494
非凡新聞,http://192.168.0.114:6789/ublive.php?id=2795
非凡新聞,http://192.168.0.114:6789/ublive.php?id=314
台視財經,http://192.168.0.114:6789/ublive.php?id=300
運通財經,http://192.168.0.114:6789/ublive.php?id=79
SBN全球財經,http://192.168.0.114:6789/ublive.php?id=1497
鏡新聞mnews,http://192.168.0.114:6789/ublive.php?id=463
鳳凰秀,http://192.168.0.114:6789/ublive.php?id=1293
三立国際,http://192.168.0.114:6789/ublive.php?id=2285
DW德國之聲,http://192.168.0.114:6789/ublive.php?id=1059
FRANCE 24 English,http://192.168.0.114:6789/ublive.php?id=2231
新唐人亞太台,http://192.168.0.114:6789/ublive.php?id=10
CBN News,http://192.168.0.114:6789/ublive.php?id=499
TRTWORLD,http://192.168.0.114:6789/ublive.php?id=1022
Bloomberg Business,http://192.168.0.114:6789/ublive.php?id=1046
Al Jazeera,http://192.168.0.114:6789/ublive.php?id=1144
Bloomberg Quicktake,http://192.168.0.114:6789/ublive.php?id=370
Euronews English,http://192.168.0.114:6789/ublive.php?id=2342
CGTN English,http://192.168.0.114:6789/ublive.php?id=2362
CGTN Documentary,http://192.168.0.114:6789/ublive.php?id=2363
CGTN Français,http://192.168.0.114:6789/ublive.php?id=2364
CGTN Español,http://192.168.0.114:6789/ublive.php?id=317
CGTN العربية,http://192.168.0.114:6789/ublive.php?id=1004
NHK WORLD,http://192.168.0.114:6789/ublive.php?id=1394
United Nations,http://192.168.0.114:6789/ublive.php?id=184
CANAL 24,http://192.168.0.114:6789/ublive.php?id=115
Channels,http://192.168.0.114:6789/ublive.php?id=1495
ABC News Australia,http://192.168.0.114:6789/ublive.php?id=2769
GB News,http://192.168.0.114:6789/ublive.php?id=77
FRANCE 24,http://192.168.0.114:6789/ublive.php?id=1042
CNN Indonesia,http://192.168.0.114:6789/ublive.php?id=1145
影視頻道,#genre#
龍華日韓,http://192.168.0.114:6789/ublive.php?id=382
東森戲劇,http://192.168.0.114:6789/ublive.php?id=2825
東森戲劇,http://192.168.0.114:6789/ublive.php?id=321
八大戲劇,http://192.168.0.114:6789/ublive.php?id=81
緯來戲劇,http://192.168.0.114:6789/ublive.php?id=2727
緯來戲劇,http://192.168.0.114:6789/ublive.php?id=339
東森電影,http://192.168.0.114:6789/ublive.php?id=350
東森電影,http://192.168.0.114:6789/ublive.php?id=2720
緯來電影,http://192.168.0.114:6789/ublive.php?id=2728
HBO HD,http://192.168.0.114:6789/ublive.php?id=332
HBO HD,http://192.168.0.114:6789/ublive.php?id=2823
東森洋片,http://192.168.0.114:6789/ublive.php?id=1128
壹電影,http://192.168.0.114:6789/ublive.php?id=2284
好萊塢電影,http://192.168.0.114:6789/ublive.php?id=37
愛爾達影劇,http://192.168.0.114:6789/ublive.php?id=500
CineMAX,http://192.168.0.114:6789/ublive.php?id=346
靖天映畫,http://192.168.0.114:6789/ublive.php?id=349
靖洋戲劇,http://192.168.0.114:6789/ublive.php?id=319
緯來精彩,http://192.168.0.114:6789/ublive.php?id=2280
EYE戲劇,http://192.168.0.114:6789/ublive.php?id=191
三立戲劇,http://192.168.0.114:6789/ublive.php?id=64
三立戲劇,http://192.168.0.114:6789/ublive.php?id=2819
龍華偶像,http://192.168.0.114:6789/ublive.php?id=385
霹靂臺灣,http://192.168.0.114:6789/ublive.php?id=1339
靖天電影,http://192.168.0.114:6789/ublive.php?id=110
美亞電影,http://192.168.0.114:6789/ublive.php?id=375
AMC,http://192.168.0.114:6789/ublive.php?id=84
HBOSignature,http://192.168.0.114:6789/ublive.php?id=329
HBOSignature,http://192.168.0.114:6789/ublive.php?id=2824
HBO Hits,http://192.168.0.114:6789/ublive.php?id=330
采昌影劇,http://192.168.0.114:6789/ublive.php?id=62
采昌影劇,http://192.168.0.114:6789/ublive.php?id=2804
影迷數位電影,http://192.168.0.114:6789/ublive.php?id=497
影迷數位電影,http://192.168.0.114:6789/ublive.php?id=2800
龍華戲劇,http://192.168.0.114:6789/ublive.php?id=365
龍華戲劇,http://192.168.0.114:6789/ublive.php?id=2796
龍華經典,http://192.168.0.114:6789/ublive.php?id=100
龍翔時代,http://192.168.0.114:6789/ublive.php?id=373
AXN臺灣,http://192.168.0.114:6789/ublive.php?id=2816
天映經典,http://192.168.0.114:6789/ublive.php?id=2289
公視戲劇,http://192.168.0.114:6789/ublive.php?id=69
AXN亞洲,http://192.168.0.114:6789/ublive.php?id=1066
Trill恐怖電影,http://192.168.0.114:6789/ublive.php?id=18
龍華電影,http://192.168.0.114:6789/ublive.php?id=311
華納電影,http://192.168.0.114:6789/ublive.php?id=83
甄嬛传,http://192.168.0.114:6789/ublive.php?id=1060
靖天戲劇,http://192.168.0.114:6789/ublive.php?id=109
CATCHPLAY,http://192.168.0.114:6789/ublive.php?id=362
TVB亞洲劇,http://192.168.0.114:6789/ublive.php?id=1048
TVB粵語片,http://192.168.0.114:6789/ublive.php?id=1589
CHC高清電影,http://192.168.0.114:6789/ublive.php?id=1345
CHC動作電影,http://192.168.0.114:6789/ublive.php?id=1346
CHC家庭影院,http://192.168.0.114:6789/ublive.php?id=1347
CBN歡笑劇場4K,http://192.168.0.114:6789/ublive.php?id=1348
SETONE,http://192.168.0.114:6789/ublive.php?id=1349
GEM,http://192.168.0.114:6789/ublive.php?id=1350
龍華洋片,http://192.168.0.114:6789/ublive.php?id=341
TVB功夫台,http://192.168.0.114:6789/ublive.php?id=168
新兵日記,http://192.168.0.114:6789/ublive.php?id=264
藍色水玲瓏,http://192.168.0.114:6789/ublive.php?id=1690
新玫瑰瞳鈴眼,http://192.168.0.114:6789/ublive.php?id=2555
龍翔時代,http://192.168.0.114:6789/ublive.php?id=1175
體育頻道,#genre#
緯來體育,http://192.168.0.114:6789/ublive.php?id=118
緯來體育,http://192.168.0.114:6789/ublive.php?id=2732
NBA(TW),http://192.168.0.114:6789/ublive.php?id=71
FOX Sport 1,http://192.168.0.114:6789/ublive.php?id=2791
FOX Sport 2,http://192.168.0.114:6789/ublive.php?id=1132
Eleven Sport 1,http://192.168.0.114:6789/ublive.php?id=3224
Eleven Sport 2,http://192.168.0.114:6789/ublive.php?id=301
ELTA體育1,http://192.168.0.114:6789/ublive.php?id=192
ELTA體育1,http://192.168.0.114:6789/ublive.php?id=2729
ELTA體育2,http://192.168.0.114:6789/ublive.php?id=193
ELTA體育2,http://192.168.0.114:6789/ublive.php?id=2730
ELTA體育3,http://192.168.0.114:6789/ublive.php?id=194
ELTA體育3,http://192.168.0.114:6789/ublive.php?id=2731
ELTA體育3台,http://192.168.0.114:6789/ublive.php?id=2722
ELTA體育4,http://192.168.0.114:6789/ublive.php?id=2820
Z頻道,http://192.168.0.114:6789/ublive.php?id=1130
博斯無限,http://192.168.0.114:6789/ublive.php?id=381
博斯無限,http://192.168.0.114:6789/ublive.php?id=2797
博斯無限2,http://192.168.0.114:6789/ublive.php?id=426
博斯無限2,http://192.168.0.114:6789/ublive.php?id=2798
博斯網球,http://192.168.0.114:6789/ublive.php?id=498
博斯高球1,http://192.168.0.114:6789/ublive.php?id=377
博斯高球2,http://192.168.0.114:6789/ublive.php?id=378
博斯魅力,http://192.168.0.114:6789/ublive.php?id=175
博斯運動1,http://192.168.0.114:6789/ublive.php?id=379
博斯運動2,http://192.168.0.114:6789/ublive.php?id=380
TRACE Sport Stars,http://192.168.0.114:6789/ublive.php?id=1037
歐洲體育,http://192.168.0.114:6789/ublive.php?id=1342
魅力足球,http://192.168.0.114:6789/ublive.php?id=464
BeIN Sport News,http://192.168.0.114:6789/ublive.php?id=2402
BeIN Sport 1,http://192.168.0.114:6789/ublive.php?id=2403
BeIN Sport 2,http://192.168.0.114:6789/ublive.php?id=2404
BeIN Sport 4,http://192.168.0.114:6789/ublive.php?id=2406
BeIN Sport 5,http://192.168.0.114:6789/ublive.php?id=2407
BeIN Sport 6,http://192.168.0.114:6789/ublive.php?id=2408
BeIN Sport 7,http://192.168.0.114:6789/ublive.php?id=2409
BeIN Sport 8,http://192.168.0.114:6789/ublive.php?id=2410
BeIN Sport 9,http://192.168.0.114:6789/ublive.php?id=2411
BeIN Sport 10,http://192.168.0.114:6789/ublive.php?id=2412
BeIN Sport 11,http://192.168.0.114:6789/ublive.php?id=2413
BeIN Sport 12,http://192.168.0.114:6789/ublive.php?id=2414
Bein Sport 15,http://192.168.0.114:6789/ublive.php?id=2416
Bein Sport 14,http://192.168.0.114:6789/ublive.php?id=2418
J SPORTS 1,http://192.168.0.114:6789/ublive.php?id=129
J SPORTS 2,http://192.168.0.114:6789/ublive.php?id=130
J SPORTS 3,http://192.168.0.114:6789/ublive.php?id=131
J SPORTS 4,http://192.168.0.114:6789/ublive.php?id=132
KBSN Sports,http://192.168.0.114:6789/ublive.php?id=2353
Spotv,http://192.168.0.114:6789/ublive.php?id=266
Spotv2,http://192.168.0.114:6789/ublive.php?id=267
SBS Sports,http://192.168.0.114:6789/ublive.php?id=487
bt espn hd,http://192.168.0.114:6789/ublive.php?id=2790
